Time Range,Flag,Geartype,Vessel IDs,Vessel Presence Hours
2024-02-15,BRA,,2,36.00
2024-02-01,ERI,,2,22.00
2024-02-17,VUT,,2,48.00
2024-02-16,ERI,,2,48.00
2024-03-05,PHL,,5,66.00
2024-03-01,VCT,,2,18.00
2024-03-03,KIR,,2,42.00
2024-03-01,SWE,,3,45.00
2024-03-05,TUV,,8,117.00
2024-03-02,STP,,1,1.00
2024-02-10,USA,,9,94.00
2024-02-17,KIR,,3,52.00
2024-02-24,GAB,,4,76.00
2024-02-04,GAB,,3,50.00
2024-02-18,LSO,,1,15.00
2024-03-01,GIB,,1,24.00
2024-03-04,LUX,,4,68.00
2024-03-04,LSO,,1,16.00
2024-03-02,GAB,,3,72.00
2024-03-07,BGD,,11,175.00
2024-03-07,ALB,,1,24.00
2024-03-08,MUS,,1,24.00
