Time Range,Flag,Geartype,Vessel IDs,Apparent Fishing Hours
2024-03-03,JPN,drifting_longlines,1,14.89
2024-03-06,IDN,other_purse_seines,4,77.34
2024-03-07,IDN,set_longlines,8,154.91
2024-03-02,IDN,set_longlines,5,87.13
2024-03-06,LBR,fishing,2,28.87
2024-02-02,TWN,drifting_longlines,1,9.02
2024-02-01,TWN,drifting_longlines,2,13.65
2024-02-04,,trawlers,1,1.01
2024-02-12,SGP,other_seines,1,1.05
2024-02-19,TWN,drifting_longlines,2,14.31
2024-02-14,PAN,fishing,1,18.93
2024-02-16,LBR,pole_and_line,1,5.01
2024-02-13,SGP,pots_and_traps,1,8.02
2024-02-16,SGP,trollers,1,14.99
2024-02-15,TWN,drifting_longlines,2,38.70
2024-02-21,TWN,drifting_longlines,1,8.71
2024-02-15,PAN,set_gillnets,1,5.96
2024-02-16,PAN,set_gillnets,1,16.02
2024-02-10,LBR,tuna_purse_seines,1,3.89
2024-02-14,MYS,trawlers,1,22.79
2024-02-15,MYS,trawlers,1,7.23
2024-02-13,MYS,trawlers,2,30.04
2024-02-26,MYS,trawlers,1,22.27
2024-02-21,MYS,trawlers,1,12.97
2024-02-10,SYC,drifting_longlines,1,8.03
2024-02-04,DNK,fishing,1,0.90
2024-02-20,CHN,fishing,1,9.01
2024-02-28,TUV,pole_and_line,1,24.03
2024-02-20,LBR,pots_and_traps,1,5.98
2024-02-25,JPN,set_longlines,1,11.00
2024-02-28,IDN,other_seines,2,27.20
2024-02-22,IDN,other_seines,2,41.17
2024-02-01,IDN,other_seines,1,23.99
2024-02-15,JPN,drifting_longlines,1,22.63
2024-02-22,IDN,squid_jigger,2,7.59
2024-02-02,IDN,drifting_longlines,2,44.17
2024-02-07,IDN,set_gillnets,1,24.00
2024-02-11,IDN,set_gillnets,1,23.42
2024-02-27,IDN,pots_and_traps,1,22.07
2024-02-22,IDN,pole_and_line,2,46.70
2024-02-06,IDN,drifting_longlines,6,135.28
2024-02-23,MHL,tuna_purse_seines,1,23.81
2024-02-02,IDN,pole_and_line,1,21.19
2024-02-12,IDN,pole_and_line,1,0.00
2024-02-09,JPN,drifting_longlines,1,16.91
2024-02-01,IDN,pole_and_line,1,25.88
2024-02-15,IDN,set_gillnets,2,37.79
2024-02-20,IDN,set_gillnets,2,37.60
2024-02-10,IDN,squid_jigger,1,0.10
2024-02-29,IDN,other_seines,2,44.43
2024-02-13,IDN,other_seines,1,23.83
2024-02-18,IDN,other_seines,1,24.19
2024-02-21,IDN,other_seines,1,26.50
2024-02-07,IDN,other_seines,1,24.16
2024-02-07,JPN,drifting_longlines,1,28.10
2024-02-13,JPN,set_longlines,1,5.45
2024-02-28,IDN,other_purse_seines,2,24.57
2024-02-16,JPN,drifting_longlines,2,49.27
2024-02-13,IDN,other_purse_seines,3,70.38
2024-02-25,IDN,other_purse_seines,1,2.30
2024-02-11,IDN,trollers,1,23.93
2024-02-29,JPN,drifting_longlines,1,22.97
2024-02-27,JPN,drifting_longlines,1,23.90
2024-02-05,IDN,trollers,1,8.87
2024-02-13,IDN,trollers,1,8.38
2024-02-27,LBR,fishing,1,24.01
2024-02-02,MNG,fishing,1,18.82
2024-02-17,MNG,fishing,1,21.36
2024-02-07,TWN,drifting_longlines,2,24.56
2024-02-16,SGP,trawlers,1,13.03
2024-02-08,IDN,tuna_purse_seines,1,1.70
2024-02-20,IDN,dredge_fishing,1,31.87
2024-02-12,SGP,trollers,1,18.01
2024-02-18,PAN,set_gillnets,1,18.00
2024-02-19,PAN,set_gillnets,1,8.97
2024-02-13,,fishing,1,22.98
2024-02-14,,fishing,1,1.03
2024-02-08,PAN,fishing,2,39.03
2024-02-16,DNK,fishing,1,23.95
2024-03-01,IDN,tuna_purse_seines,1,20.49
2024-03-05,IDN,other_purse_seines,1,9.00
2024-03-03,IDN,other_purse_seines,1,1.17
2024-03-05,IDN,dredge_fishing,2,3.38
2024-03-03,PAN,set_longlines,1,3.87
2024-03-01,BEL,other_seines,1,19.37
2024-03-06,,fishing,1,34.92
2024-03-01,NOR,trawlers,1,12.10
2024-03-05,MNG,trawlers,1,1.78
2024-03-04,IDN,dredge_fishing,1,9.77
2024-03-08,KOR,set_longlines,1,2.96
2024-03-08,TZA,fishing,1,0.98
2024-03-08,NOR,trawlers,1,6.07
2024-03-02,IDN,pots_and_traps,1,14.73
2024-03-06,IDN,set_gillnets,1,24.37
2024-03-07,IDN,set_gillnets,1,23.72
2024-03-02,IDN,other_seines,1,24.03
2024-03-04,IDN,other_seines,1,12.59
2024-03-05,NOR,trawlers,1,24.68
2024-03-04,NOR,trawlers,1,23.20
2024-03-03,NOR,trawlers,1,3.80
2024-03-05,JPN,drifting_longlines,1,24.11
2024-02-02,MYS,trawlers,2,10.07
2024-02-12,SGP,pots_and_traps,1,16.22
2024-02-28,MYS,trawlers,1,0.50
2024-02-13,TWN,drifting_longlines,1,24.10
2024-02-10,MYS,drifting_longlines,1,12.83
